,0
0,_id
1,created_at
2,id
3,id_str
4,text
5,source
6,truncated
7,in_reply_to_status_id
8,in_reply_to_status_id_str
9,in_reply_to_user_id
10,in_reply_to_user_id_str
11,in_reply_to_screen_name
12,user
13,geo
14,coordinates
15,place
16,contributors
17,retweeted_status
18,is_quote_status
19,quote_count
20,reply_count
21,retweet_count
22,favorite_count
23,entities
24,favorited
25,retweeted
26,filter_level
27,lang
28,timestamp_ms
29,display_text_range
30,quoted_status_id
31,quoted_status_id_str
32,quoted_status
33,quoted_status_permalink
34,possibly_sensitive
35,extended_tweet
36,extended_entities
37,limit
